epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,229.923,0.83057,1.09403,0.53541,0.99157,0.99398,1,0.995,0.88823,0.99398,1,0.995,0.78207,0.56471,0.98508,0.42965,0.97512,0.0010298,0.0010298,0.0010298
100,231.936,0.75839,0.89743,0.50787,0.91715,0.99516,1,0.995,0.87296,0.99516,1,0.995,0.694,0.57405,1.05599,0.42075,0.97833,0.0010199,0.0010199,0.0010199
101,233.876,0.78441,0.90392,0.47487,0.94287,0.99508,1,0.995,0.82493,0.99508,1,0.995,0.72057,0.67446,1.16862,0.44916,0.99072,0.00101,0.00101,0.00101
102,235.825,0.82942,0.93796,0.51119,0.94309,0.99477,1,0.995,0.84304,0.99477,1,0.995,0.73729,0.60528,1.30834,0.43748,0.96957,0.0010001,0.0010001,0.0010001
103,237.842,0.85075,0.96144,0.55287,0.97082,0.99467,1,0.995,0.83749,0.99467,1,0.995,0.71014,0.61994,1.43438,0.37616,0.99055,0.0009902,0.0009902,0.0009902
104,240.72,0.72764,0.82955,0.46993,0.92841,0.99479,1,0.995,0.83656,0.99479,1,0.995,0.68749,0.70865,1.54108,0.41282,1.05518,0.0009803,0.0009803,0.0009803
105,242.829,0.7621,0.90825,0.49427,0.92354,0.99484,1,0.995,0.79682,0.99484,1,0.995,0.70459,0.69957,1.74309,0.4461,1.05219,0.0009704,0.0009704,0.0009704
106,244.799,0.80086,0.94126,0.5143,0.93703,0.99494,1,0.995,0.81916,0.99494,1,0.995,0.69441,0.67076,1.69392,0.44632,1.03235,0.0009605,0.0009605,0.0009605
107,246.761,0.81379,0.9461,0.48542,0.95501,0.99496,1,0.995,0.85759,0.99496,1,0.995,0.7064,0.59233,1.60039,0.41022,0.98384,0.0009506,0.0009506,0.0009506
108,248.724,0.81555,0.98402,0.50311,0.94121,0.99506,1,0.995,0.86218,0.99506,1,0.995,0.6466,0.57605,1.57187,0.38945,0.97946,0.0009407,0.0009407,0.0009407
109,250.648,0.8803,0.97757,0.5171,0.96004,0.99524,1,0.995,0.84975,0.99524,1,0.995,0.66909,0.57691,1.45417,0.39403,0.9764,0.0009308,0.0009308,0.0009308
